nuts_code,country,region,basic_needs,foundations_wellbeing,opportunity,gdp_per_capita_2022
EL63,EL,Dytiki Elláda,77.9,47.97,34.13,5.098389982110913
EL64,EL,Sterea Elláda,75.46,49.1,28.46,11.180679785330948
EL65,EL,Peloponnisos,73.76,48.39,30.74,7.8711985688729875
ES11,ES,Galicia,78.29,73.06,61.77,15.652951699463328
ES12,ES,Principado de Asturias,65.47,70.22,60.28,15.474060822898032
ES13,ES,Cantabria,42.26,70.81,61.59,15.921288014311273
ES21,ES,País Vasco,73.93,72.64,63.25,24.59749552772809
ES22,ES,Comunidad Foral de Navarra,61.7,68.72,61.52,22.719141323792485
ES23,ES,La Rioja,68.29,72.93,57.98,18.962432915921287
ES24,ES,Aragón,73.31,69.77,58.91,20.304114490161
ES30,ES,Comunidad de Madrid,73.31,66.22,62.77,26.923076923076923
ES41,ES,Castilla y León,71.55,68.31,54.52,16.63685152057245
ES42,ES,Castilla-La Mancha,65.17,69.22,52.02,12.701252236135955
ES43,ES,Extremadura,74.16,67.12,52.63,11.538461538461538
ES51,ES,Cataluña,69.61,70.29,57.07,21.64579606440072
ES52,ES,Comunitat Valenciana,81.42,72.15,57.51,14.400715563506262
ES53,ES,Illes Balears,78.35,71.47,53.84,18.962432915921287
ES61,ES,Andalucía,59.96,72.34,55.25,11.359570661896242
ES62,ES,Región de Murcia,75.49,73.82,55.36,13.237924865831843
ES63,ES,Ciudad de Ceuta,70.37,74.84,49.96,13.059033989266547
ES64,ES,Ciudad de Melilla,69.99,73.4,53.17,11.001788908765652
ES70,ES,Canarias,65.35,74.1,54.03,12.432915921288014
FI19,FI,Länsi-Suomi,83.03,89.46,71.25,30.85867620751341
FI1B,FI,Helsinki-Uusimaa,83.47,89.3,79.09,47.31663685152057
FI1C,FI,Etelä-Suomi,74.69,90.46,69.62,30.41144901610018
FI1D,FI,Pohjois- ja Itä-Suomi,91.4,92.28,68.2,29.516994633273704
FI20,FI,Åland,89.56,92.38,63.91,36.8515205724508
FR10,FR,Ile-de-France,55.93,71.93,60.11,48.658318425760285
FRB0,FR,Centre — Val de Loire,57.43,74.56,52.87,20.03577817531306
FRC1,FR,Bourgogne,72.02,74.49,54.14,21.46690518783542
FRC2,FR,Franche-Comté,68.59,74.91,54.61,18.6046511627907
FRD1,FR,Basse-Normandie,57.24,72.1,52.99,19.23076923076923
FRD2,FR,Haute-Normandie,56.26,71.1,52.23,22.450805008944545
FRE1,FR,Nord-Pas de Calais,59.82,62.52,50.97,20.6618962432916
FRE2,FR,Picardie,57.4,67.96,50.37,18.33631484794276
FRF1,FR,Alsace,61.21,74.88,55.71,23.613595706618963
FRF2,FR,Champagne-Ardenne,61.61,74.62,49.64,23.07692307692308
FRF3,FR,Lorraine,61.43,74.82,51.28,17.620751341681576
FRG0,FR,Pays de la Loire,76.94,74.91,56.59,23.70304114490161
FRH0,FR,Bretagne,72.54,75.15,56.0,22.271914132379248
FRI1,FR,Aquitaine,56.84,75.04,57.31,22.54025044722719
FRI2,FR,Limousin,57.34,74.94,53.85,17.79964221824687
FRI3,FR,Poitou-Charentes,61.19,72.18,53.25,20.572450805008945
FRJ1,FR,Languedoc-Roussillon,56.28,74.47,55.44,18.4257602862254
FRJ2,FR,Midi-Pyrénées,56.38,72.55,58.17,22.54025044722719
FRK1,FR,Auvergne,50.53,74.15,51.54,20.304114490161
FRK2,FR,Rhône-Alpes,51.66,74.15,55.59,26.56529516994633
FRL0,FR,Provence-Alpes-Côte d’Azur,55.54,73.8,57.58,27.99642218246869
FRM0,FR,Corse,46.03,74.36,49.22,18.4257602862254
FRY1,FR,Guadeloupe,23.42,73.72,45.72,15.026833631484797
FRY2,FR,Martinique,29.93,72.22,47.87,16.547406082289804
FRY3,FR,Guyane,10.77,64.16,41.53,6.350626118067979
FRY4,FR,La Réunion,46.17,73.86,47.33,14.311270125223611
FRY5,FR,Mayotte,9.98,65.6,47.12,2.683363148479428
HR02,HR,Panonska Hrvatska,40.69,47.22,21.81,2.23613595706619
HR03,HR,Jadranska Hrvatska,32.52,60.05,28.12,7.423971377459749
HR05,HR,Grad Zagreb,20.09,41.58,45.09,20.930232558139537
HR06,HR,Sjeverna Hrvatska,34.04,51.4,29.06,5.008944543828265
HU11,HU,Budapest,81.85,51.0,48.33,24.86583184257603
HU12,HU,Pest,74.45,48.56,41.25,5.813953488372093
HU21,HU,Közép-Dunántúl,71.07,50.0,35.69,6.887298747763864
HU22,HU,Nyugat-Dunántúl,67.23,51.34,34.25,6.350626118067979
HU23,HU,Dél-Dunántúl,68.86,50.57,37.44,3.1305903398926653
HU31,HU,Észak-Magyarország,63.36,38.18,30.98,2.59391771019678
HU32,HU,Észak-Alföld,62.46,42.23,29.88,2.59391771019678
HU33,HU,Dél-Alföld,52.94,42.83,33.31,3.756708407871199
IE04,IE,Northern and Western,63.13,83.87,62.94,32.11091234347048
