nuts_code,country,region,nutrition_medical_care,water_sanitation,safety,basic_education,info_comm,health,env_quality,trust_gov,freedom_choice,inclusive_society,adv_education,gdp_per_capita_2022
ITH3,IT,Veneto,79.38,91.07,48.07,63.42,52.02,72.2,58.39,46.48,50.15,73.15,18.47,25.670840787119857
ITH4,IT,Friuli-Venezia Giulia,77.32,88.14,48.07,63.42,53.1,76.88,73.78,43.51,47.98,73.15,24.21,24.59749552772809
ITH5,IT,Emilia-Romagna,76.29,97.57,48.07,63.42,52.61,74.96,68.28,50.71,56.37,73.15,25.01,28.08586762075134
ITI1,IT,Toscana,85.57,93.32,64.53,63.42,48.56,74.1,78.56,44.65,43.08,77.57,24.78,23.70304114490161
ITI2,IT,Umbria,86.6,98.23,64.53,63.42,48.4,75.88,81.26,44.52,43.92,77.57,24.47,17.71019677996422
ITI3,IT,Marche,84.54,91.81,64.53,63.42,46.3,75.11,75.62,45.73,43.81,77.57,19.75,20.03577817531306
ITI4,IT,Lazio,82.47,97.89,64.53,63.42,49.03,70.03,69.17,43.96,42.24,77.57,29.67,25.670840787119857
LT01,LT,Sostinės regionas,68.04,95.44,59.49,58.04,62.56,41.04,74.6,48.84,62.18,59.5,48.48,23.971377459749554
LT02,LT,Vidurio ir vakarų Lietuvos regionas,68.04,97.15,11.07,58.04,44.08,34.17,74.74,46.03,47.09,21.98,25.85,9.391771019677996
LU00,LU,Luxembourg,68.04,93.05,77.49,52.35,66.36,82.66,81.1,55.55,54.27,51.19,51.39,98.56887298747765
LV00,LV,Latvija,72.16,86.47,63.19,69.07,74.69,52.66,67.93,61.1,68.59,87.42,27.35,10.822898032200358
MT00,MT,Malta,59.79,100.0,74.92,39.62,60.7,78.94,77.94,50.36,71.95,81.38,25.18,21.73524150268336
NL11,NL,Groningen,78.35,100.0,69.34,77.22,88.19,81.65,66.88,55.47,68.38,75.31,76.67,41.50268336314848
NL12,NL,Friesland (NL),72.16,100.0,69.34,77.22,86.37,83.16,65.23,62.3,68.56,75.31,36.21,27.101967799642217
NL13,NL,Drenthe,64.95,100.0,69.34,77.22,87.71,81.23,78.88,64.37,68.24,75.31,38.68,25.402504472271914
NL21,NL,Overijssel,60.82,100.0,72.24,77.22,91.9,80.43,71.93,62.54,72.01,81.15,47.72,32.73703041144902
NL22,NL,Gelderland,61.86,100.0,72.24,77.22,91.54,81.16,71.96,75.46,73.03,81.15,57.35,32.64758497316637
NL23,NL,Flevoland,52.58,100.0,72.24,77.22,91.01,82.81,73.03,64.59,73.26,81.15,39.46,27.54919499105545
NL31,NL,Utrecht,68.04,100.0,44.16,77.22,92.79,84.02,67.89,76.25,76.32,82.95,78.24,51.43112701252236
NL32,NL,Noord-Holland,64.95,100.0,44.16,77.22,91.97,83.74,65.05,75.18,77.28,82.95,66.62,54.56171735241503
NL33,NL,Zuid-Holland,63.92,100.0,44.16,77.22,91.52,82.92,67.21,68.78,75.65,82.95,61.19,39.44543828264759
NL34,NL,Zeeland,71.13,100.0,44.16,77.22,92.93,84.17,79.24,62.74,74.23,82.95,34.76,33.4525939177102
NL41,NL,Noord-Brabant,70.1,100.0,68.02,77.22,90.66,82.28,75.46,61.97,73.46,83.91,47.99,41.50268336314848
NL42,NL,Limburg (NL),67.01,96.51,68.02,77.22,90.2,81.34,79.13,61.89,72.7,83.91,47.19,35.509838998211094
PL21,PL,Małopolskie,69.07,84.45,73.78,89.53,44.41,47.16,18.81,36.03,56.69,48.36,31.5,6.171735241502684
PL22,PL,Śląskie,54.64,74.02,73.78,89.53,44.41,39.52,20.97,45.86,54.21,48.36,20.99,8.676207513416816
PL41,PL,Wielkopolskie,60.82,72.7,49.04,89.53,37.45,46.11,39.33,46.15,59.47,44.77,18.87,8.765652951699463
