Country,NUTS code,RegionName,Infant mortality,Satisfaction with water quality,Uncollected sewage,"Sewage treatment, additional",Safety at night,Money Stolen,Assaulted/Mugged,Traffic deaths,Share of low-achieving 15 year olds in reading (level 1a or lower),Share of low-achieving 15 year olds in maths and science,Lower-secondary completion only,Early school leavers,Broadband at home,Digital skills above basic level,Online interaction with public authorities,Internet access,Freedom of media,Subjective health status,Standardised cancer death rate,Standardised heart disease death rate,Years of life lost due to air pollution,Index of positive emotions,Air pollution NO2,Air pollution Ozone (SOMO35),Air pollution pm2.5,Bathing water quality,Trust in the national government,Trust in the legal system,Trust in the police,Voiced opinion to public official,Female participation in regional assemblies,Institution quality index,Freedom over life choices,Job opportunities,Teenage pregnancy,"Young people not in education, employment or training (NEET)",Institutions corruption index (EQI),Institution impartiality index (EQI),Tolerance towards immigrants,Tolerance towards minorities,Tolerance towards  gay or lesbian people,Women treated with respect,Tertiary education attainment,Lifelong learning,Academic citations per 1000 persons ,gdp_per_capita_2022
BE,BE21,Prov. Antwerpen,3.1,78.3592749541198,0.0,100.0,75.2035305637188,9.253203682224694,0.571825650596395,43,21.2534622962723,38.2785984727161,14.2,6.7,92.79,26.7480845070423,71.08,93.887720776815,90.3002048915502,78.5371541232598,62.1,21.81,469.92516402972467,73.9367031184301,18.08812271237188,2977.3834008529634,11.5832560468823,0.9,56.5455426961767,60.5230869891347,81.1145930297491,17.7084864208031,48.3870967741936,0.876,88.5867616041942,63.9007839388125,3.13511952643195,6.7,0.83,0.688,81.3386228619728,79.2844895020144,84.8345956112792,84.8347276432649,47.1,11.0,4.22899572637669,56400.0
BE,BE22,Prov. Limburg (BE),2.5,78.3592749541198,0.0,100.0,75.2035305637188,9.253203682224694,0.571825650596395,76,21.2534622962723,38.2785984727161,13.0,6.366666666666667,93.09,26.7480845070423,71.01,93.887720776815,90.3002048915502,78.5371541232598,63.58,20.6,394.71025744351437,73.9367031184301,14.093093798382984,3618.7059606990083,10.481660930940214,0.769230769230769,56.5455426961767,60.5230869891347,81.1145930297491,17.7084864208031,48.3870967741936,0.876,88.5867616041942,63.9007839388125,2.68121301775148,6.300000000000001,0.83,0.688,81.3386228619728,79.2844895020144,84.8345956112792,84.8347276432649,43.7,8.4,2.08503999316784,38600.0
BE,BE23,Prov. Oost-Vlaanderen,3.4,78.3592749541198,0.0,100.0,75.2035305637188,9.253203682224694,0.571825650596395,38,21.2534622962723,38.2785984727161,13.6,5.666666666666667,92.75,26.7480845070423,70.21,93.887720776815,90.3002048915502,78.5371541232598,65.58,24.87,478.4482278955806,73.9367031184301,15.598394786230065,2986.201235011373,11.696651124245326,1.0,56.5455426961767,60.5230869891347,81.1145930297491,17.7084864208031,48.3870967741936,0.876,88.5867616041942,63.9007839388125,4.49722081859525,5.8999999999999995,0.83,0.688,81.3386228619728,79.2844895020144,84.8345956112792,84.8347276432649,49.6,12.2,10.575068309998,44500.0
BE,BE24,Prov. Vlaams-Brabant,2.5,78.3592749541198,0.0,100.0,75.2035305637188,9.253203682224694,0.571825650596395,40,21.2534622962723,38.2785984727161,15.1,4.55,96.83,26.7480845070423,77.36,93.887720776815,90.3002048915502,78.5371541232598,62.85,20.81,421.59511528799374,73.9367031184301,15.567839755936763,3110.6421528036103,10.866959938984191,,56.5455426961767,60.5230869891347,81.1145930297491,17.7084864208031,48.3870967741936,0.876,88.5867616041942,63.9007839388125,1.85373992028918,5.7,0.83,0.688,81.3386228619728,79.2844895020144,84.8345956112792,84.8347276432649,51.6,10.5,16.1239985324766,53900.0
BE,BE25,Prov. West-Vlaanderen,2.8,78.3592749541198,0.0,100.0,75.2035305637188,9.253203682224694,0.571825650596395,47,21.2534622962723,38.2785984727161,17.3,5.433333333333334,93.95,26.7480845070423,69.09,93.887720776815,90.3002048915502,78.5371541232598,69.05,25.89,472.5467867899841,73.9367031184301,12.43298877316673,2913.3362128717167,11.617092452310702,0.914893617021277,56.5455426961767,60.5230869891347,81.1145930297491,17.7084864208031,48.3870967741936,0.876,88.5867616041942,63.9007839388125,3.47921001466726,5.400000000000001,0.83,0.688,81.3386228619728,79.2844895020144,84.8345956112792,84.8347276432649,39.8,10.0,0.614977838029343,45900.0
BE,BE31,Prov. Brabant Wallon,2.1,75.7157755869641,0.960905349794239,96.2912992357437,66.9089008409655,15.126351125613596,6.204155561699395,39,21.2534622962723,38.2785984727161,10.8,8.6,95.53,25.60944312026,79.79,88.9090387733263,83.6028591300839,71.506893212481,67.71,23.7,368.315920010099,72.5808847820931,14.199999999999998,3215.7666666666664,10.1,,54.8381477437571,62.2634531165934,82.3683800716227,14.2559669760812,36.9047619047619,0.254,83.9883723911926,33.5759129230983,2.04381948986266,6.400000000000001,0.763,0.704,77.1341129001386,77.690337178133,69.6734949762235,77.6528074720445,60.7,13.1,7.13832911960543,60400.0
BE,BE32,Prov. Hainaut,3.8,75.7157755869641,0.225888324873096,96.4407733651836,66.9089008409655,15.126351125613596,6.204155561699395,53,21.2534622962723,38.2785984727161,26.8,11.700000000000001,88.2,25.60944312026,61.84,88.9090387733263,83.6028591300839,71.506893212481,87.63,44.04,387.3558637663515,72.5808847820931,15.119339473219382,3156.3716237321937,10.379535245953091,0.333333333333333,54.8381477437571,62.2634531165934,82.3683800716227,14.2559669760812,36.9047619047619,0.254,83.9883723911926,33.5759129230983,8.34223510860166,12.533333333333333,0.763,0.704,77.1341129001386,77.690337178133,69.6734949762235,77.6528074720445,34.2,4.4,1.06298966473817,29200.0
BE,BE33,Prov. Liège,2.4,75.7157755869641,0.370107576104372,91.2279812314031,66.9089008409655,15.126351125613596,6.204155561699395,46,21.2534622962723,38.2785984727161,21.1,8.533333333333333,91.67,25.60944312026,62.05,88.9090387733263,83.6028591300839,71.506893212481,75.52,38.55,266.5371815424097,72.5808847820931,13.486832922995207,3407.3040694430792,8.653628578114853,,54.8381477437571,62.2634531165934,82.3683800716227,14.2559669760812,38.3419689119171,0.254,83.9883723911926,33.5759129230983,6.11185002216733,8.366666666666667,0.763,0.704,77.1341129001386,77.690337178133,69.6734949762235,77.6528074720445,41.5,8.9,3.54130215628091,33900.0
BE,BE34,Prov. Luxembourg (BE),1.9,75.7157755869641,0.314185228604924,67.4542790152403,66.9089008409655,15.126351125613596,6.204155561699395,93,21.2534622962723,38.2785984727161,17.8,9.4,89.25,25.60944312026,67.66,88.9090387733263,83.6028591300839,71.506893212481,83.2,37.9,133.33472223668997,72.5808847820931,8.755504397615253,3835.542162406459,6.796063500661465,0.416666666666667,54.8381477437571,62.2634531165934,82.3683800716227,14.2559669760812,36.9047619047619,0.254,83.9883723911926,33.5759129230983,5.62366437970982,7.1000000000000005,0.763,0.704,77.1341129001386,77.690337178133,69.6734949762235,77.6528074720445,42.1,9.5,0.138891006835531,28500.0
BE,BE35,Prov. Namur,2.8,75.7157755869641,0.789209905660377,95.2859080188679,66.9089008409655,15.126351125613596,6.204155561699395,64,21.2534622962723,38.2785984727161,18.1,7.033333333333332,86.22,25.60944312026,63.1,88.9090387733263,83.6028591300839,71.506893212481,80.03,43.2,262.2005764834509,72.5808847820931,12.350790179902594,3457.24390704856,8.613712354636716,0.375,54.8381477437571,62.2634531165934,82.3683800716227,14.2559669760812,36.9047619047619,0.254,83.9883723911926,33.5759129230983,6.01585999453104,9.333333333333334,0.763,0.704,77.1341129001386,77.690337178133,69.6734949762235,77.6528074720445,43.3,11.2,2.51578413488559,31300.0
