nuts_code,country,region,spi,gdp_per_capita_2022,basic_needs,foundations_wellbeing,opportunity,nutrition_medical_care,water_sanitation,safety,basic_education,info_comm,health,env_quality,trust_gov,freedom_choice,inclusive_society,adv_education,cluster_spi_gdp
DE14,DE,Tübingen,67.94,36.76,74.28,71.87,58.24,78.35,98.93,49.81,73.12,51.35,81.44,84.07,68.42,64.81,71.55,33.01,prosperous
DE21,DE,Oberbayern,71.77,52.5,82.9,74.18,59.25,76.29,99.37,74.18,73.12,53.7,84.65,87.81,66.23,63.22,69.3,40.64,prosperous
DE22,DE,Niederbayern,66.48,33.36,79.15,72.7,49.52,68.04,96.61,74.18,73.12,53.7,80.92,85.21,66.23,63.93,69.3,13.62,prosperous
DE23,DE,Oberpfalz,69.22,36.14,83.18,72.29,53.82,77.32,99.11,74.18,73.12,53.7,80.27,84.09,66.23,63.93,69.3,23.89,prosperous
DE24,DE,Oberfranken,66.25,31.22,78.46,69.26,52.38,63.92,99.3,74.18,73.12,53.7,76.92,74.65,66.23,63.93,69.3,20.17,stable
DE25,DE,Mittelfranken,68.02,37.75,80.08,70.08,55.09,68.04,99.68,74.18,73.12,53.7,78.06,76.94,66.23,61.76,69.3,28.81,prosperous
DE26,DE,Unterfranken,67.06,33.63,78.83,69.68,53.88,65.98,98.0,74.18,73.12,53.7,81.17,72.27,66.23,63.93,69.3,24.05,prosperous
DE27,DE,Schwaben,68.88,32.2,84.34,73.72,50.82,80.41,99.41,74.18,73.12,53.7,83.35,87.14,66.23,62.92,69.3,16.97,prosperous
DE30,DE,Berlin,70.58,35.78,77.02,71.1,63.92,70.1,99.8,63.44,73.12,60.26,73.76,77.92,67.78,61.03,81.92,47.39,prosperous
DE40,DE,Brandenburg,61.69,23.52,67.29,68.52,50.15,69.07,88.87,47.21,73.12,53.69,72.34,76.17,63.64,57.63,67.32,20.74,stable
DE50,DE,Bremen,67.02,43.38,80.56,64.58,56.96,73.2,99.99,70.08,73.12,41.67,77.34,69.64,61.28,62.69,75.92,32.82,prosperous
DE60,DE,Hamburg,64.53,61.54,63.81,70.32,59.69,67.01,99.3,33.8,73.12,56.97,74.08,78.08,69.0,64.64,72.98,36.17,affluent
DE71,DE,Darmstadt,70.84,44.1,85.8,71.9,56.37,71.13,99.34,88.12,73.12,57.45,77.47,80.75,71.68,60.72,72.56,27.61,prosperous
DE72,DE,Gießen,70.59,27.1,82.66,72.33,57.89,62.89,99.16,88.12,73.12,57.45,75.02,85.12,71.68,61.79,72.56,31.24,stable
DE73,DE,Kassel,69.88,28.89,87.34,72.74,51.9,75.26,99.49,88.12,73.12,57.45,76.07,85.81,71.68,61.79,72.56,15.78,stable
DE80,DE,Mecklenburg-Vorpommern,64.91,21.82,75.41,70.88,49.94,79.38,99.55,51.34,73.12,57.12,75.27,79.06,66.66,56.52,68.52,18.56,stable
DE91,DE,Braunschweig,67.96,38.73,74.99,71.74,57.8,55.67,97.31,74.87,73.12,56.58,75.71,82.92,64.77,61.3,73.4,35.59,prosperous
DE92,DE,Hannover,68.48,31.22,81.69,70.63,54.51,74.23,96.95,74.87,73.12,56.58,75.68,78.21,64.77,62.07,73.4,25.4,prosperous
DE93,DE,Lüneburg,64.94,21.74,75.09,70.32,50.75,57.73,94.99,74.87,73.12,56.58,76.0,76.61,64.77,61.98,73.4,16.05,stable
DE94,DE,Weser-Ems,66.96,28.8,79.8,71.93,50.91,72.16,93.17,74.87,73.12,56.58,76.79,82.61,64.77,61.15,73.4,16.86,stable
DEA1,DE,Düsseldorf,67.96,34.53,81.2,71.33,52.93,67.01,98.0,80.05,73.12,59.94,75.37,77.6,66.98,59.43,73.88,21.28,prosperous
DEA2,DE,Köln,70.59,35.33,82.3,72.8,57.78,70.1,97.94,80.05,73.12,59.94,78.66,80.4,66.98,61.65,73.88,33.35,prosperous
DEA3,DE,Münster,67.34,27.1,77.7,72.61,53.02,57.73,98.0,80.05,73.12,59.94,76.17,82.16,66.98,60.55,73.88,20.84,stable
DEA4,DE,Detmold,69.13,31.31,83.43,73.81,52.1,73.2,98.0,80.05,73.12,59.94,78.61,84.75,66.98,61.52,73.88,18.05,prosperous
DEA5,DE,Arnsberg,67.16,28.0,78.49,71.77,52.63,59.79,98.0,80.05,73.12,59.94,75.23,79.56,66.98,59.78,73.88,20.31,stable
DEB1,DE,Koblenz,66.23,26.3,78.1,73.74,48.87,69.07,98.06,68.87,73.12,60.69,79.52,82.64,61.3,58.03,74.41,15.13,stable
DEB2,DE,Trier,67.42,22.36,78.7,74.72,50.67,71.13,97.64,68.87,73.12,60.69,81.32,84.95,61.3,58.03,74.41,19.36,stable
DEB3,DE,Rheinhessen-Pfalz,68.27,33.72,78.54,73.62,53.96,69.07,99.55,68.87,73.12,60.69,81.46,80.16,61.3,57.26,74.41,28.74,prosperous
DEC0,DE,Saarland,65.79,27.46,72.63,71.18,54.39,68.04,97.66,55.3,73.12,54.56,76.54,82.11,67.06,64.49,73.99,21.89,stable
DED2,DE,Dresden,65.56,25.49,74.51,69.18,53.89,77.32,97.71,52.1,73.12,55.62,74.92,74.07,60.36,60.25,64.43,33.7,stable
DED4,DE,Chemnitz,63.8,22.0,73.66,72.23,47.34,76.29,95.95,52.1,73.12,55.62,74.97,86.99,60.36,60.25,64.43,15.7,stable
DED5,DE,Leipzig,65.07,27.01,71.78,69.72,54.44,68.04,99.02,52.1,73.12,55.62,72.77,78.51,60.36,60.25,64.43,35.48,stable
DEE0,DE,Sachsen-Anhalt,58.25,23.26,59.62,68.51,47.59,64.95,97.03,27.61,73.12,52.29,73.72,76.37,57.87,56.32,70.15,16.87,stable
DEF0,DE,Schleswig-Holstein,65.45,26.74,72.22,71.69,53.37,69.07,96.42,54.24,73.12,55.49,77.62,82.06,73.63,59.6,71.46,19.97,stable
DEG0,DE,Thüringen,65.61,22.45,74.07,71.12,52.7,68.04,96.24,60.21,73.12,55.16,73.83,83.97,66.21,63.96,69.72,20.74,stable
DK01,DK,Hovedstaden,82.28,73.26,77.44,86.35,83.16,70.1,100.0,64.43,86.23,88.82,87.6,82.79,86.1,69.14,90.83,87.48,affluent
DK02,DK,Sjælland,73.73,28.18,70.08,85.75,66.08,63.92,99.5,51.03,86.23,89.09,82.95,84.79,86.64,61.27,81.84,40.11,prosperous
DK03,DK,Syddanmark,75.91,40.7,72.24,86.44,69.57,65.98,98.8,55.3,86.23,87.46,89.21,82.94,84.01,66.29,88.55,44.18,prosperous
DK04,DK,Midtjylland,81.05,42.84,79.84,87.7,75.82,72.16,100.0,69.07,86.23,89.18,89.42,86.0,90.36,68.14,90.42,57.16,prosperous
DK05,DK,Nordjylland,79.32,35.96,78.98,86.69,72.6,56.7,99.63,83.73,86.23,86.7,86.67,87.18,87.1,64.13,88.97,53.43,prosperous
EE00,EE,Eesti,68.86,16.55,78.75,80.81,49.44,77.32,96.88,63.79,100.0,72.78,74.43,77.44,59.34,54.35,41.7,43.46,stable
EL30,EL,Attiki,53.77,15.83,76.93,48.12,39.57,64.95,94.1,73.17,33.47,46.22,52.72,62.44,43.94,43.05,40.19,31.74,emerging
EL41,EL,Voreio Aigaio,58.23,3.04,85.06,50.74,42.87,87.63,79.83,87.84,33.47,33.55,68.37,74.75,41.56,45.9,71.53,20.34,emerging
EL42,EL,Notio Aigaio,56.55,9.93,82.51,50.51,40.58,73.2,86.92,87.84,33.47,33.55,67.09,74.98,38.6,54.18,71.53,11.9,emerging
EL43,EL,Kriti,59.5,7.07,87.16,50.16,45.2,78.35,95.72,87.84,33.47,33.55,65.74,74.71,36.52,58.01,71.53,22.8,emerging
EL51,EL,"Anatoliki Makedonia, Thraki",45.68,4.74,61.97,47.96,30.02,26.8,86.02,83.99,33.47,36.92,59.92,65.61,30.02,33.26,45.81,15.22,vulnerable
EL52,EL,Kentriki Makedonia,52.31,6.17,78.52,47.88,35.02,61.86,91.29,83.99,33.47,36.92,61.21,63.91,37.73,38.81,45.81,20.52,emerging
EL53,EL,Dytiki Makedonia,53.59,8.05,84.27,50.05,32.57,75.26,94.1,83.99,33.47,36.92,65.39,69.75,39.71,34.82,45.81,14.89,emerging
EL54,EL,Ipeiros,53.6,4.47,75.25,51.66,37.23,58.76,84.54,83.99,33.47,37.03,68.98,73.52,44.26,39.43,45.81,22.15,emerging
EL61,EL,Thessalia,52.85,5.99,80.92,48.05,34.59,70.1,90.05,83.26,33.47,28.51,65.32,72.58,42.76,54.08,25.12,21.36,emerging
EL62,EL,Ionia Nisia,48.97,7.33,75.11,49.16,28.26,48.45,98.3,83.26,33.47,28.62,68.44,74.63,39.61,52.44,25.12,7.38,emerging
EL63,EL,Dytiki Elláda,51.81,5.1,77.9,47.97,34.13,64.95,86.38,83.26,33.47,28.62,65.86,71.46,41.88,56.53,25.12,19.07,emerging
EL64,EL,Sterea Elláda,49.13,11.18,75.46,49.1,28.46,72.16,71.25,83.26,33.47,28.62,67.2,75.63,43.43,49.53,25.12,7.29,emerging
EL65,EL,Peloponnisos,49.42,7.87,73.76,48.39,30.74,56.7,82.99,83.26,33.47,28.62,66.56,72.78,41.41,57.3,25.12,9.98,emerging
ES11,ES,Galicia,70.87,15.65,78.29,73.06,61.77,76.29,92.47,67.14,60.9,66.95,80.72,84.98,61.11,61.22,91.2,39.01,stable
ES12,ES,Principado de Asturias,65.26,15.47,65.47,70.22,60.28,76.29,53.95,67.14,60.9,67.84,77.41,75.36,58.64,56.79,91.2,39.84,stable
ES13,ES,Cantabria,57.58,15.92,42.26,70.81,61.59,49.48,18.26,67.14,60.9,67.71,78.17,77.19,60.19,57.42,91.2,42.33,emerging
ES21,ES,País Vasco,69.86,24.6,73.93,72.64,63.25,74.23,73.7,73.87,60.9,70.67,80.01,79.86,61.44,54.26,87.36,52.72,stable
ES22,ES,Comunidad Foral de Navarra,63.94,22.72,61.7,68.72,61.52,70.1,43.52,73.87,60.9,69.85,84.44,60.97,59.86,53.65,87.36,48.51,stable
ES23,ES,La Rioja,66.25,18.96,68.29,72.93,57.98,48.45,85.31,73.87,60.9,70.94,83.64,77.23,59.24,54.53,87.36,36.36,stable
ES24,ES,Aragón,67.19,20.3,73.31,69.77,58.91,80.41,66.0,73.87,60.9,71.6,81.81,65.63,57.9,54.01,87.36,40.91,stable
ES30,ES,Comunidad de Madrid,67.36,26.92,73.31,66.22,62.77,74.23,98.4,51.14,60.9,71.91,81.83,52.12,59.65,52.73,92.81,50.03,stable
ES41,ES,Castilla y León,64.57,16.64,71.55,68.31,54.52,76.29,88.53,52.3,60.9,68.81,82.7,61.89,47.97,55.29,84.45,35.81,stable
ES42,ES,Castilla-La Mancha,61.91,12.7,65.17,69.22,52.02,69.07,75.26,52.3,60.9,67.51,80.86,68.34,55.41,50.51,84.45,26.1,emerging
ES43,ES,Extremadura,64.31,11.54,74.16,67.12,52.63,84.54,88.51,52.3,60.9,68.83,82.49,57.57,53.03,50.32,84.45,29.73,emerging
ES51,ES,Cataluña,65.51,21.65,69.61,70.29,57.07,78.35,56.62,74.89,60.9,70.67,77.05,73.06,54.36,50.56,85.51,42.1,stable
ES52,ES,Comunitat Valenciana,70.01,14.4,81.42,72.15,57.51,76.29,93.74,74.89,60.9,70.41,77.96,80.15,57.56,54.04,85.51,37.82,stable
ES53,ES,Illes Balears,67.48,18.96,78.35,71.47,53.84,76.29,84.03,74.89,60.9,70.35,80.97,74.42,57.33,51.79,85.51,28.45,stable
ES61,ES,Andalucía,62.31,11.36,59.96,72.34,55.25,69.07,53.05,58.31,60.9,69.26,79.02,81.11,54.58,50.67,90.54,32.6,emerging
ES62,ES,Región de Murcia,67.9,13.24,75.49,73.82,55.36,71.13,99.9,58.31,60.9,69.25,81.22,85.2,59.43,50.56,90.54,29.46,stable
ES63,ES,Ciudad de Ceuta,64.58,13.06,70.37,74.84,49.96,56.7,100.0,58.31,60.9,70.03,79.38,90.67,54.28,49.08,90.54,19.22,emerging
ES64,ES,Ciudad de Melilla,65.21,11.0,69.99,73.4,53.17,55.67,100.0,58.31,60.9,74.62,78.86,80.04,54.28,44.38,90.54,31.6,emerging
ES70,ES,Canarias,64.23,12.43,65.35,74.1,54.03,71.13,68.23,57.13,60.9,70.4,81.16,85.19,51.83,50.3,91.11,30.97,emerging
FI19,FI,Länsi-Suomi,81.07,30.86,83.03,89.46,71.25,81.44,100.0,69.09,88.72,93.14,85.79,90.27,87.3,66.33,87.34,48.02,prosperous
FI1B,FI,Helsinki-Uusimaa,83.9,47.32,83.47,89.3,79.09,85.57,100.0,66.56,88.72,96.41,90.7,81.7,92.11,69.2,89.83,66.88,prosperous
FI1C,FI,Etelä-Suomi,78.01,30.41,74.69,90.46,69.62,70.1,100.0,57.06,88.72,93.33,88.84,90.97,87.24,64.62,84.94,45.97,prosperous
FI1D,FI,Pohjois- ja Itä-Suomi,83.57,29.52,91.4,92.28,68.2,85.57,100.0,88.93,88.72,90.97,92.82,96.72,89.71,61.05,78.83,47.18,prosperous
FI20,FI,Åland,81.42,36.85,89.56,92.38,63.91,100.0,100.0,70.41,88.72,93.46,88.21,99.34,82.34,63.1,85.23,32.81,prosperous
FR10,FR,Ile-de-France,62.48,48.66,55.93,71.93,60.11,57.73,99.82,23.5,72.12,74.9,79.92,61.45,64.02,55.16,72.02,50.38,prosperous
FRB0,FR,Centre — Val de Loire,61.28,20.04,57.43,74.56,52.87,64.95,99.9,21.9,72.12,73.3,80.18,72.77,62.53,52.61,76.3,26.92,stable
FRC1,FR,Bourgogne,66.56,21.47,72.02,74.49,54.14,73.2,99.06,48.32,72.12,66.08,78.54,81.72,64.12,55.28,75.45,28.13,stable
FRC2,FR,Franche-Comté,65.75,18.6,68.59,74.91,54.61,63.92,98.01,48.32,72.12,67.69,80.89,79.33,63.39,55.71,75.45,29.69,stable
FRD1,FR,Basse-Normandie,60.51,19.23,57.24,72.1,52.99,69.07,99.59,19.42,72.12,69.56,77.86,69.03,67.09,56.55,67.19,27.14,stable
FRD2,FR,Haute-Normandie,59.6,22.45,56.26,71.1,52.23,65.98,99.46,19.42,72.12,68.53,73.42,70.39,65.9,54.0,67.19,27.51,stable
FRE1,FR,Nord-Pas de Calais,57.66,20.66,59.82,62.52,50.97,71.13,98.95,23.25,72.12,67.98,69.43,43.01,65.42,44.36,75.18,26.4,stable
FRE2,FR,Picardie,58.36,18.34,57.4,67.96,50.37,62.89,99.52,23.25,72.12,67.1,74.2,58.94,63.13,47.88,75.18,23.54,stable
FRF1,FR,Alsace,63.69,23.61,61.21,74.88,55.71,60.82,99.68,32.35,72.12,72.23,81.75,73.62,65.43,53.61,71.42,35.92,stable
FRF2,FR,Champagne-Ardenne,61.53,23.08,61.61,74.62,49.64,61.86,99.89,32.35,72.12,69.74,76.89,79.93,63.86,50.22,71.42,21.65,stable
FRF3,FR,Lorraine,62.14,17.62,61.43,74.82,51.28,61.86,99.2,32.35,72.12,72.04,79.47,75.76,63.95,51.86,71.42,24.94,stable
FRG0,FR,Pays de la Loire,69.16,23.7,76.94,74.91,56.59,69.07,99.37,64.58,72.12,70.91,79.21,77.58,63.52,58.72,75.87,33.04,stable
FRH0,FR,Bretagne,67.62,22.27,72.54,75.15,56.0,68.04,99.49,53.69,72.12,70.34,80.08,78.27,67.52,51.21,75.24,34.64,stable
FRI1,FR,Aquitaine,62.79,22.54,56.84,75.04,57.31,71.13,75.73,30.04,72.12,72.03,77.85,78.28,70.09,52.61,73.29,37.14,stable
FRI2,FR,Limousin,61.71,17.8,57.34,74.94,53.85,53.61,98.29,30.04,72.12,66.41,79.2,82.57,68.05,51.18,73.29,29.03,stable
FRI3,FR,Poitou-Charentes,61.97,20.57,61.19,72.18,53.25,63.92,99.83,30.04,72.12,71.39,76.63,68.69,69.77,50.06,73.29,27.04,stable
FRJ1,FR,Languedoc-Roussillon,61.77,18.43,56.28,74.47,55.44,71.13,72.02,31.21,72.12,64.67,80.69,81.02,61.95,53.84,78.24,32.82,stable
FRJ2,FR,Midi-Pyrénées,62.16,22.54,56.38,72.55,58.17,68.04,75.54,31.21,72.12,65.4,83.06,70.2,63.6,54.5,78.24,39.74,stable
FRK1,FR,Auvergne,58.26,20.3,50.53,74.15,51.54,53.61,99.88,16.08,72.12,69.37,79.4,75.9,61.94,51.65,70.14,27.92,stable
FRK2,FR,Rhône-Alpes,60.09,26.57,51.66,74.15,55.59,67.01,87.72,16.08,72.12,70.24,81.31,73.16,60.28,51.92,70.14,41.99,stable
FRL0,FR,Provence-Alpes-Côte d’Azur,62.05,28.0,55.54,73.8,57.58,68.04,55.64,44.21,72.12,72.79,80.39,70.12,66.98,56.17,77.27,34.63,stable
FRM0,FR,Corse,55.87,18.43,46.03,74.36,49.22,73.2,37.13,32.53,72.12,64.98,79.66,81.25,67.16,46.75,74.53,19.34,emerging
FRY1,FR,Guadeloupe,45.28,15.03,23.42,73.72,45.72,0.0,78.52,32.01,72.12,67.34,84.66,71.32,57.61,54.38,73.53,12.31,emerging
FRY2,FR,Martinique,48.48,16.55,29.93,72.22,47.87,6.19,68.35,32.01,72.12,67.58,81.34,68.26,57.51,51.5,73.53,18.85,emerging
FRY3,FR,Guyane,34.95,6.35,10.77,64.16,41.53,17.53,0.0,32.01,72.12,68.52,81.44,39.01,51.73,43.31,73.53,11.76,vulnerable
FRY4,FR,La Réunion,55.1,14.31,46.17,73.86,47.33,34.02,79.09,32.01,72.12,66.98,81.17,75.52,67.07,47.94,73.53,14.66,emerging
FRY5,FR,Mayotte,36.49,2.68,9.98,65.6,47.12,9.28,0.6,32.01,72.12,67.37,75.29,49.29,54.55,53.86,73.53,17.3,vulnerable
HR02,HR,Panonska Hrvatska,35.68,2.24,40.69,47.22,21.81,59.79,17.97,51.34,51.02,48.71,47.35,42.03,31.85,45.1,12.95,7.41,vulnerable
HR03,HR,Jadranska Hrvatska,39.08,7.42,32.52,60.05,28.12,56.7,0.2,83.38,51.02,50.93,61.01,79.33,33.68,46.96,23.31,13.88,vulnerable
HR05,HR,Grad Zagreb,34.6,20.93,20.09,41.58,45.09,77.32,0.0,21.64,51.02,62.0,49.24,14.14,43.65,61.57,49.65,28.72,vulnerable
HR06,HR,Sjeverna Hrvatska,37.6,5.01,34.04,51.4,29.06,52.58,16.5,38.31,51.02,53.32,54.31,47.1,34.5,53.51,26.51,10.41,vulnerable
HU11,HU,Budapest,59.5,24.87,81.85,51.0,48.33,82.47,96.62,67.74,57.47,56.69,47.94,42.68,35.08,70.75,46.67,44.13,stable
HU12,HU,Pest,53.87,5.81,74.45,48.56,41.25,80.41,73.43,69.7,57.47,52.64,41.0,44.02,38.45,68.22,47.41,18.87,emerging
HU21,HU,Közép-Dunántúl,51.24,6.89,71.07,50.0,35.69,56.7,82.29,75.5,57.47,50.12,32.6,62.63,38.27,66.67,35.63,12.78,emerging
HU22,HU,Nyugat-Dunántúl,50.02,6.35,67.23,51.34,34.25,65.98,75.13,60.95,57.47,51.58,43.67,53.14,31.95,64.9,38.93,11.99,emerging
HU23,HU,Dél-Dunántúl,51.5,3.13,68.86,50.57,37.44,70.1,63.94,72.69,57.47,48.79,37.02,60.78,35.4,60.81,44.76,16.31,emerging
HU31,HU,Észak-Magyarország,43.14,2.59,63.36,38.18,30.98,51.55,68.02,71.44,57.47,48.42,20.05,32.47,35.27,51.16,33.18,11.64,vulnerable
HU32,HU,Észak-Alföld,43.86,2.59,62.46,42.23,29.88,53.61,82.32,53.5,57.47,46.77,28.11,39.33,33.71,52.76,26.28,13.46,vulnerable
HU33,HU,Dél-Alföld,42.65,3.76,52.94,42.83,33.31,67.01,42.59,50.63,57.47,52.82,27.31,37.25,34.52,57.62,31.2,16.28,vulnerable
IE04,IE,Northern and Western,69.65,32.11,63.13,83.87,62.94,59.79,60.26,69.56,87.23,80.17,89.98,78.36,65.89,61.03,89.28,40.39,prosperous
IE05,IE,Southern,66.89,100.0,54.53,84.32,63.51,61.86,50.1,51.98,87.23,78.11,87.05,85.05,68.55,62.35,85.18,41.89,affluent
IE06,IE,Eastern and Midland,73.56,85.51,72.75,82.64,65.76,73.2,90.43,56.6,87.23,82.93,86.18,74.53,65.16,62.43,86.84,51.04,affluent
ITC1,IT,Piemonte,54.66,23.08,65.81,56.56,42.85,81.44,80.3,40.35,63.42,53.25,67.88,43.34,42.97,42.28,78.32,18.28,stable
ITC2,IT,Valle d’Aosta/Vallée d’Aoste,55.85,31.66,60.1,68.0,41.22,100.0,47.69,40.35,63.42,54.5,75.19,80.42,42.72,43.76,78.32,13.55,stable
ITC3,IT,Liguria,48.34,24.33,36.01,66.95,44.56,71.13,10.34,40.35,63.42,53.05,76.13,76.66,43.3,40.98,78.32,23.7,emerging
ITC4,IT,Lombardia,57.7,31.93,69.24,59.44,45.67,77.32,96.38,40.35,63.42,53.95,67.63,53.4,48.58,43.42,78.32,21.38,stable
