country,nuts_code,region,infant_mortality,satisfaction_water_quality,uncollected_sewage,sewage_treatment,safety_at_night,money_stolen,assaulted,traffic_deaths,low_achieving_reading_level,low_achieving_maths_science,lower_secondary_only,early_school_leavers,broadband_at_home,digital_skills_above_basic,online_interaction_public_authorities,internet_access,freedom_media,subjective_health_status,cancer_death,heart_death,years_life_lost_pollution,positive_emotions,pollution_no2,pollution_somo35,pollution_pm25,bathing_water_quality,trust_national_government,trust_legal_system,trust_police,voiced_opinion,female_participation,institution_quality,freedom_life_choices,job_opp,teenage_pregnancy,young_people_neet,institutions_corruption,institution_impartiality,tt_immigrants,tt_minorities,tt_lgtb,women_respect,tertiary_education,lifelong_learning,academic_citations,gdp_per_capita_2022
AT,AT11,Burgenland,55.903968202340835,63.50058023092957,55.049892684087084,60.28020061616072,68.54904550547334,46.05387328461492,43.65560645303659,64.8088376138006,48.23333540981671,56.17228381952791,59.21102188963675,49.89784777859481,53.933031921263265,61.16753983975851,57.45104122760003,50.10399058207263,55.43330044593705,56.26255397710986,54.79626510986627,57.395016003516645,55.81616537616739,68.44183476539092,61.86938896116882,36.55807562767298,51.60538978866509,63.77936933212883,54.0530203607087,71.82568683000969,47.04796231595092,62.77163413643721,46.49451557065429,59.90990671881745,56.72011717786104,59.866237218929406,58.25733970790603,58.660070840436774,42.073125424655764,71.4491335729502,45.45611187354663,46.51172275783207,55.89958817457852,65.5921323032315,46.98286263728959,49.88543526953503,32.78269831401147,51.04179019395322
AT,AT12,Niederösterreich,47.85785224516837,63.50058023092957,55.049892684087084,60.96087808319787,68.54904550547334,46.05387328461492,43.65560645303659,46.10384148610427,48.23333540981671,56.17228381952791,59.64939757496739,58.46736474025002,53.933031921263265,61.16753983975851,61.60634508378317,50.10399058207263,55.43330044593705,56.26255397710986,58.84022326323323,58.93052023813797,57.64066613377242,68.44183476539092,58.7964350144341,40.257417714969755,54.31693047130127,67.77209546347044,54.0530203607087,71.82568683000969,47.04796231595092,62.77163413643721,43.7548213987307,61.816863471838076,56.72011717786104,59.866237218929406,57.337237040357,58.20810369170828,46.995084842744646,71.9090939847566,45.45611187354663,46.51172275783207,55.89958817457852,65.5921323032315,51.34146876772289,52.736488469609824,41.00647789912856,57.58048077771299
AT,AT13,Wien,45.558961971690515,63.50058023092957,55.049892684087084,61.06575414669396,68.54904550547334,46.05387328461492,43.65560645303659,77.97161266662397,48.23333540981671,56.17228381952791,54.97339026477387,44.98297775646902,59.88491191201541,61.16753983975851,66.29035559363572,50.10399058207263,55.43330044593705,56.26255397710986,52.99697095352239,56.41457579965369,54.262538113796055,68.44183476539092,19.47479373749936,41.15095845201251,49.099185611062275,63.07477060306853,54.0530203607087,71.82568683000969,47.04796231595092,62.77163413643721,62.297071554309426,65.13701139004363,56.72011717786104,59.866237218929406,52.89699397011499,46.79593318631392,46.71048174714087,62.64174346539818,45.45611187354663,46.51172275783207,55.89958817457852,65.5921323032315,69.90590228623503,70.06211945467972,90.47227441289209,71.31173100360849
AT,AT21,Kärnten,74.29509039016364,63.14430663296836,55.049892684087084,61.16615601583939,75.75730346864873,43.74722081353526,24.022795334342494,36.40495460507653,48.23333540981671,56.17228381952791,63.74090397138671,58.97145397328857,49.8764433242143,59.907770711076815,56.24492917391666,58.52565793427017,61.08954328927325,56.443016277033834,59.481555833811264,59.96283558506246,58.2617279782799,75.88519103437976,49.622659058656666,36.86756462277139,55.48753504393987,67.77209546347044,47.10229630432812,72.47790277942295,58.393256467586,67.04977582141255,35.371357232644506,64.33677060975819,61.93028959281279,63.76480310455045,57.16767017484453,62.501791604628934,45.27072491055704,67.88869927415257,52.17127935032687,54.91525829404772,52.049769307986814,68.4033284998513,50.05002991426116,54.05235917733665,38.498087962491994,59.16844849091179
AT,AT22,Steiermark,63.950084159513324,63.14430663296836,55.049892684087084,60.97839894051928,75.75730346864873,43.74722081353526,24.022795334342494,55.80272836713199,48.23333540981671,56.17228381952791,59.35714711808029,58.97145397328857,50.375204217294055,59.907770711076815,57.97148683980586,58.52565793427017,61.08954328927325,56.443016277033834,60.86220233991671,59.50114681181482,54.90482631130692,75.88519103437976,47.40534123021104,36.83769896411045,50.111798501997015,67.77209546347044,47.10229630432812,72.47790277942295,58.393256467586,67.04977582141255,56.083445172386746,61.74875787351591,61.93028959281279,63.76480310455045,55.95863475082075,58.095111904526156,42.9269347114671,72.82901480836938,52.17127935032687,54.91525829404772,52.049769307986814,68.4033284998513,48.27430149075131,56.90341237741144,64.68185328852428,60.10254714573461
AT,AT31,Oberösterreich,58.2028584758187,57.8694412086106,55.049892684087084,60.362123572195955,74.54301406615023,49.38547784445775,19.479896784311904,40.561620411231274,48.23333540981671,56.17228381952791,57.311393919870625,59.22349858980783,55.09680733844943,60.79450140844984,58.8802014008002,59.882088458878115,60.23250711358663,65.29454481351131,66.74999163369547,58.411768807522655,56.92008514862733,67.96242930766523,48.19925200791143,44.015739523515165,53.29135514190801,62.448460621681626,56.33861482314414,70.32129607580536,47.438209055178994,55.4591301622403,53.61772041765551,65.63077697787934,57.28233858871299,58.55108122384265,56.87390973262338,63.17974232772167,47.44710152399771,67.59909457042262,51.843700414335316,53.34792325473138,54.256366011705346,59.6114468313608,48.59716120411674,54.05235917733665,40.480944217576855,65.80054894015383
AT,AT32,Salzburg,54.75452306560192,57.8694412086106,55.049892684087084,59.61267482349475,74.54301406615023,49.38547784445775,19.479896784311904,53.72439546405463,48.23333540981671,56.17228381952791,63.01027782916897,53.48948356399442,58.22237560174944,60.79450140844984,59.43369117886038,59.882088458878115,60.23250711358663,65.29454481351131,69.05700740841363,61.50352733398995,61.82618593141758,67.96242930766523,50.189778411007154,44.117361088673576,61.22788980411068,67.77209546347044,56.33861482314414,70.32129607580536,47.438209055178994,55.4591301622403,69.50794661481224,70.05764086882009,57.28233858871299,58.55108122384265,58.39111729256336,59.225029776347384,40.06416239686438,68.57012210645834,51.843700414335316,53.34792325473138,54.256366011705346,59.6114468313608,49.888600057578465,54.49098274657892,51.29567241289191,73.460157909701
AT,AT33,Tirol,59.35230361255762,57.8694412086106,55.049892684087084,60.819013547342,74.54301406615023,49.38547784445775,19.479896784311904,57.18828363585025,48.23333540981671,56.17228381952791,57.60364437675772,55.06476241723986,48.04765338292174,60.79450140844984,57.18668790076532,59.882088458878115,60.23250711358663,65.29454481351131,68.73634112312462,60.906963188782335,65.39063513246505,67.96242930766523,39.60467702901367,38.990301081005626,67.08488566304723,65.49053767413234,56.33861482314414,70.32129607580536,47.438209055178994,55.4591301622403,54.165659252040236,68.5422913061519,57.28233858871299,58.55108122384265,57.80906797950268,62.8407669661753,46.74396446427072,70.73363959902915,51.843700414335316,53.34792325473138,54.256366011705346,59.6114468313608,47.790011920703165,59.97377736210737,67.51466062166588,66.26759826756525
AT,AT34,Vorarlberg,68.54786470646901,57.8694412086106,55.049892684087084,61.07242593945513,74.54301406615023,49.38547784445775,19.479896784311904,60.65217180764586,48.23333540981671,56.17228381952791,54.97339026477387,57.08111934939403,63.67549469942183,60.79450140844984,59.450213261787546,59.882088458878115,60.23250711358663,65.29454481351131,65.73454839694693,60.64239995916852,61.8877196911736,67.96242930766523,41.87505109353715,39.01710025597806,61.25974662986007,67.77209546347044,56.33861482314414,70.32129607580536,47.438209055178994,55.4591301622403,65.6723747741192,66.83965134809776,57.28233858871299,58.55108122384265,56.76986284848823,58.434087266072524,42.94367607003202,65.28225694058301,51.843700414335316,53.34792325473138,54.256366011705346,59.6114468313608,44.561414787048875,54.71029453120006,34.15015654402433,72.9931085822896
BE,BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,55.903968202340835,21.952545851182737,55.049892684087084,61.20858206133638,31.068378159885672,7.298565281385209,6.242288321870163,78.66439030098307,54.130055968324065,62.886092615748545,46.49812701504813,53.17442779334532,60.017914816836715,49.28586539190567,61.44112425451147,59.13592683725148,62.18641779997903,74.9579974567563,60.38120291198319,59.65677224099942,53.48470344774023,59.35151351049238,11.04112728710418,67.6115857076129,47.224815756797334,41.63826995871425,69.99711931402612,49.860788040659074,52.07548495593207,25.804661720072826,65.47247526450663,49.08111658559318,66.26874365076826,46.06643919240234,54.52654407525171,50.86363752487033,55.81778080646179,44.73735854656418,56.66539536440832,58.07285851294789,53.708071238277824,56.047866592887644,82.65886096416946,54.71029453120006,79.77793153046872,91.11462248585237
